,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2023-08-01,4.043099,95.7661,102.59183,425.09273,1.984644,910.881185,304.015904,1.663464,1.981375,1.872559,1.961125,2.223387,119.514513,1.956266,0.414981,3118.496706,1.100764,1.468467,7.609558,5.27651,1.101165,3.7175796e-05,90.59315,14.547301,2.779522,21574.971676,2.219697,1.460708,2658.344437,0.960515,0.033575,926.436125,7.900735,4370.615933,599.923499,1.100764,29.170242,111.012278,23.951573,195.627882,7.45162,61.976642,149.311494,34.016901,16.511458,60.289312,1.0,2.441821,0.85615,0.860291,2.861809,0.85615,12.466146,0.85615,69.129056,9527.110936,8.658313,230.392436,8.579628,27.112193,7.401381,150.318153,388.822659,16665.014474,4.002807,0.85615,90.601176,1442.000658,46576.071614,144.299372,0.85615,170.128078,0.779672,157.379492,157.084216,96.627363,4547.255275,493.469663,990.617102,1419.324284,0.338507,0.917679,489.477944,20955.78702,16786.648965,351.285854,205.289357,20.122104,3.25027,0.665841,5.267142,10.857925,19.684,4914.910687,61.585843,2312.547657,3786.052851,8.840203,49.756016,16.907579,1158.547802,18.576525,4.977599,69.623436,20.12227,834.951668,40.19938,11.193536,144.947278,1.792467,0.423776,1.101175,4.004026,3.874493,60.43359,315.974578,4.449475,8010.568852,4.007871,4.932303,117.293017,101.721429,1297.800592,4.130277,9.212058,14.476357,662.106954,11.632977,1.469211,1.339355,23.26264,21740.085983,626.886994,42.447638,22783.58949,9.635162,14424.072183,20.122113,37.760669,12.063692,3.852674,3.397508,2.58718,29.693653,7.479138,34.787649,2702.375476,40.668602,3995.758778,1.100764,41.492663,12807.44279,3244261.933809,32.436058,26077.095867,130.669734,2.996651,657.727965,0.045113,0.000564,2.97487,0.820015,657.704205,119.331742,275.576485,20.116669,9908.193525,20.895452,354.445514
2023-08-02,4.019686,93.477354,102.563852,423.371245,1.975115,902.611844,303.569945,1.672595,1.969882,1.860475,1.95231,2.212784,119.955575,1.955633,0.412562,3103.468846,1.094379,1.465546,7.573117,5.266042,1.095911,3.7574421e-05,90.516717,14.592648,2.766104,21449.823605,2.208971,1.460334,2642.924627,0.960175,0.03351,924.62935,7.870117,4424.879734,597.102647,1.094379,29.001037,110.067245,23.968758,194.493111,7.451822,61.666669,148.60023,33.81772,16.415681,60.384853,1.0,2.480573,0.858476,0.860357,2.845314,0.858476,12.330845,0.858476,68.728099,9426.374778,8.616362,229.279678,8.538349,26.95583,7.358448,149.574861,388.515892,16664.105308,4.019111,0.858476,90.541839,1435.694284,46305.902289,144.698821,0.858476,170.409158,0.775145,156.873696,156.222986,96.039288,4527.493225,490.603628,984.981408,1418.719694,0.336883,0.913243,487.298897,21232.464102,16451.490357,345.21399,204.101934,20.005875,3.231416,0.661979,5.24548,10.854801,19.452517,4945.025018,61.635487,2301.423028,3764.71474,8.80452,49.461651,16.809409,1151.299926,18.621735,4.987108,69.219206,20.005102,849.632079,40.095031,11.26305,144.825825,1.798264,0.421331,1.095941,3.996855,3.981501,60.56947,312.334728,4.44496,7968.537489,3.984644,4.934884,117.278079,102.926825,1288.578953,4.106023,9.158623,14.514657,658.268665,11.71521,1.468131,1.331585,23.113701,21613.980537,623.246278,41.98529,22651.430694,9.589595,14336.361868,20.125473,37.712211,12.016581,3.830326,3.377799,2.579443,29.512441,7.443389,34.631722,2686.699832,40.476537,3972.717108,1.094379,41.035897,12772.817951,3224571.533841,32.368778,25977.815705,129.745702,2.971126,654.777585,0.04613,0.000565,2.957613,0.816019,654.768627,119.331742,273.977665,20.199719,9850.72517,21.013669,352.389513
2023-08-03,4.022484,94.726257,103.820043,422.92141,1.972484,906.221016,304.518546,1.669191,1.97399,1.864018,1.957856,2.210162,119.317508,1.955886,0.412859,3110.198494,1.09514,1.46947,7.562839,5.38579,1.09467,3.7511534e-05,90.580525,14.682288,2.762953,21464.750171,2.206397,1.462144,2672.14266,0.957482,0.033789,932.347452,7.845367,4509.03217,596.345449,1.09514,29.021218,110.773448,24.227786,194.628244,7.451083,61.711148,148.805043,33.894164,16.427105,59.991609,1.0,2.48,0.861579,0.861229,2.852809,0.861579,12.238171,0.861579,66.150736,9478.439385,8.604781,229.016829,8.551129,26.995323,7.363569,149.960254,393.213391,16611.088296,4.039404,0.861579,90.660698,1434.633812,46338.126407,144.701122,0.861579,169.406394,0.775471,156.165907,156.457762,96.121343,4530.595667,492.62149,985.654198,1420.828524,0.336832,0.91215,487.43089,20911.704262,16714.577606,350.29434,204.461067,20.477607,3.233665,0.662439,5.251212,10.757017,19.305458,4878.850313,61.624302,2298.59341,3791.821307,8.801386,49.577151,16.810594,1149.897314,18.976832,4.976332,69.267901,20.450967,852.01901,40.026985,11.205054,144.904034,1.800641,0.42162,1.09454,3.992334,3.860395,61.056807,316.468194,4.458294,7965.202784,3.987443,4.948827,117.295105,104.038595,1292.265572,4.108364,9.157332,14.596004,658.729616,11.685848,1.468608,1.332512,22.949132,21629.020904,623.686361,41.779535,22667.193438,9.578236,14346.337705,20.488015,37.859052,12.002526,3.843943,3.378507,2.596255,29.777785,7.419726,34.667215,2710.472736,40.427795,3946.2171,1.09514,41.062757,12780.287304,3239186.94052,32.92714,26020.533881,130.865596,2.984378,656.658734,0.046401,0.000566,2.959672,0.815071,653.248844,119.331742,274.116984,20.428761,9857.586635,21.041027,352.634735
2023-08-04,4.049473,93.962238,104.572666,425.880111,1.987566,909.481183,307.459716,1.674241,1.987233,1.878605,1.970738,2.226678,120.20113,1.957531,0.415666,3123.979921,1.102487,1.481832,7.620766,5.372864,1.10286,3.7856443e-05,91.30812,14.832431,2.7836,21608.743333,2.22295,1.475514,2690.068446,0.961952,0.034038,939.212907,7.905607,4525.124426,598.839231,1.102487,29.215903,111.107198,24.302675,195.934407,7.461676,62.272025,149.430567,34.06996,16.537304,60.780217,1.0,2.496637,0.867699,0.864405,2.872023,0.867699,12.461458,0.867699,66.594457,9484.895976,8.670725,230.728937,8.61103,27.120575,7.412966,150.531033,390.280754,16705.873819,4.027076,0.867699,91.157752,1444.650522,46648.981366,145.28615,0.867699,170.512493,0.780675,156.283075,156.818162,96.835729,4560.569339,495.926215,992.224939,1437.687446,0.339048,0.919067,491.223498,21430.443814,16553.173869,354.013439,205.838467,20.620664,3.255358,0.666884,5.295137,10.734871,19.35471,4975.716172,62.09065,2315.854289,3816.040206,8.870942,49.836535,16.923591,1158.481345,18.828827,5.021871,69.732713,20.620617,846.103991,40.345823,11.243063,146.093395,1.827536,0.424448,1.10286,4.069346,4.007376,61.230473,312.591459,4.440949,8035.912611,4.014197,4.953037,117.415431,105.700974,1298.442256,4.135975,9.226478,14.822979,663.149928,11.671923,1.476345,1.341451,23.024896,21774.116742,627.870332,42.231905,22819.253016,9.649141,14442.578824,20.637433,38.234653,12.09226,3.858704,3.405307,2.612398,29.701773,7.476674,34.911906,2761.730066,40.731346,3981.177521,1.102487,41.766593,12858.467816,3268654.745016,33.148027,26167.526684,132.698386,3.037093,660.967163,0.046666,0.000568,2.979526,0.821225,660.967163,119.331742,276.007997,20.361787,9923.709083,21.284336,355.000334
2023-08-05,4.04948,93.236207,103.76465,423.8373,1.972208,909.481183,304.294185,1.674241,1.987233,1.878605,1.955511,2.209473,119.272356,1.95881,0.412539,3099.841428,1.102487,1.470382,7.561881,5.372864,1.094338,3.7848263e-05,90.602597,14.717823,2.762091,21608.743333,2.205774,1.475514,2690.068446,0.962038,0.033757,931.462205,7.905166,4564.524752,594.212096,1.102487,29.215903,110.249087,24.302675,194.841176,7.461676,61.790859,149.432222,33.86819,16.537304,60.310578,1.0,2.445651,0.863025,0.864831,2.872023,0.863025,12.365171,0.863025,66.594457,9411.607703,8.603727,228.946131,8.61103,26.911019,7.412966,149.367903,390.280754,16705.873819,4.027076,0.863025,91.157752,1433.487938,46648.981366,145.28615,0.863025,169.19497,0.780675,156.283075,155.60698,96.835729,4525.33055,495.926215,992.215014,1437.687446,0.339048,0.911965,487.427893,21264.854206,16425.270144,351.278034,205.838467,20.620664,3.255358,0.666884,5.254223,10.651924,19.205159,4937.26961,61.610886,2297.960054,3814.283922,8.802398,49.836535,16.923591,1149.529945,18.828827,5.021871,69.732713,20.620617,846.103991,40.034078,11.243063,144.964555,1.827536,0.4245,1.094338,4.037903,3.976412,61.230473,310.176114,4.440943,7973.820401,4.014197,4.953037,117.272651,105.700974,1288.4094,4.135509,9.226478,14.822979,663.149928,11.671923,1.476345,1.341451,23.333579,21774.116742,627.870332,42.231905,22819.253016,9.574584,14442.680828,20.477971,38.234653,11.998825,3.858704,3.405307,2.612398,29.701773,7.418902,34.911906,2741.294469,40.416621,3950.415599,1.102487,41.443869,12759.112494,3314591.241913,33.148027,26167.526684,132.539559,3.015179,655.859976,0.046666,0.000567,2.979526,0.814879,655.859976,119.331742,276.007997,20.361787,9923.709083,21.119876,355.000334
2023-08-06,4.041187,93.143581,103.661564,423.416237,1.970249,907.630046,304.281937,1.673778,1.983188,1.879771,1.953568,2.207278,119.153864,1.953568,0.412129,3096.761875,1.100243,1.468922,7.554369,5.376777,1.093251,3.7785583e-05,90.512587,14.703201,2.759347,21564.76174,2.203582,1.47163,2684.593011,0.961843,0.033855,934.160913,7.856949,4500.565775,593.621773,1.100243,29.156438,110.139163,24.263551,194.64761,7.451175,61.729473,149.127986,33.873293,16.503644,60.250662,1.0,2.440668,0.862999,0.863096,2.866154,0.862999,12.352887,0.862999,66.457134,9402.257694,8.59518,228.718683,8.594602,26.884284,7.397878,149.219513,389.078886,16690.68549,4.01888,0.862999,90.985195,1432.063833,46554.032628,145.110808,0.862999,169.026883,0.779084,156.104677,157.33468,96.638633,4520.834837,494.916754,990.218651,1434.771606,0.338358,0.911059,486.943655,21243.728529,16408.952377,350.929055,205.414837,20.576269,3.248731,0.665526,5.249003,10.641342,19.186079,4932.364655,61.549678,2295.677134,3818.018716,8.793653,49.60997,16.888549,1148.387939,18.795998,5.011589,69.590558,20.572529,842.335266,39.994306,11.159121,144.820539,1.803793,0.42357,1.093251,4.033891,3.972461,60.656352,309.867968,4.440636,7965.898769,4.006032,4.948119,117.156146,105.485757,1287.129424,4.127668,9.207699,14.792735,661.79637,11.657261,1.47377,1.338721,23.286597,21729.798366,626.598035,42.145927,22772.807599,9.565072,14413.18268,20.457627,38.112653,11.986905,3.85085,3.398375,2.607081,29.705789,7.411532,34.841404,2738.570357,40.376469,3946.491039,1.100243,41.402696,12746.436889,3304610.573487,33.080559,26114.266322,131.33846,2.952075,655.208409,0.046574,0.000566,2.973462,0.81407,655.208409,119.331742,275.445832,20.303664,9903.514125,21.098894,354.27778
2023-08-07,4.041356,93.688385,104.071316,424.807217,1.981814,907.569678,311.585936,1.67412,1.983254,1.86787,1.95995,2.220301,120.274681,1.955896,0.414853,3105.4039,1.10028,1.475838,7.598227,5.391924,1.099628,3.761219e-05,90.972728,14.760255,2.776078,21565.484797,2.216514,1.471283,2684.682965,0.960435,0.034257,945.249775,7.914645,4432.86242,594.363964,1.10028,29.157416,110.498981,24.236304,195.541696,7.451822,61.851532,149.326977,34.002713,16.504198,60.615956,1.0,2.440748,0.863062,0.860826,2.866239,0.863062,12.288468,0.863062,66.460742,9458.027321,8.646387,230.265958,8.59038,27.042262,7.398126,150.097831,388.189093,16767.164429,4.055373,0.863062,91.046561,1440.550358,46555.591494,145.093907,0.863062,169.991501,0.779107,156.817937,157.558258,96.681757,4534.643296,494.933423,990.251359,1439.277378,0.338314,0.916349,491.350432,21358.614991,16505.750866,356.294452,205.425338,20.577404,3.24884,0.665549,5.280181,10.819408,19.299041,4898.506122,61.507165,2309.210729,3814.714176,8.843306,49.679541,16.889044,1192.668828,18.792449,5.01623,69.592488,20.57656,826.442426,40.225177,11.166817,145.553532,1.80194,0.423606,1.099638,4.054121,3.94539,61.851159,312.022542,4.425684,7992.997774,4.006131,4.94983,117.270032,105.351968,1290.945303,4.127662,9.208007,14.658133,660.076745,11.65352,1.475359,1.338766,23.287367,21730.527357,626.633189,42.267258,22773.571161,,14413.66564,20.493581,38.322393,12.063053,3.850979,3.398489,2.599466,29.718997,7.458998,34.857415,2723.192471,40.614069,3973.413682,1.10028,42.089123,12838.184786,3323888.908316,33.081668,26109.640522,131.25479,2.952172,657.35492,0.047584,0.000568,2.973561,0.822542,657.348933,119.331742,275.454828,20.588219,9903.837777,21.624182,354.289658
2023-08-08,4.025145,93.177038,103.33701,423.506548,1.974425,903.970831,311.355631,1.677808,1.975288,1.867994,1.956193,2.212105,119.911927,1.955936,0.413111,3104.110102,1.09586,1.47727,7.570246,5.369829,1.0956,3.6783915e-05,90.714332,14.775702,2.765306,21478.863593,2.208304,1.471467,2673.899693,0.959618,0.034173,942.943926,7.9085,4439.571519,593.097629,1.09586,29.0403,110.285167,24.267501,194.756277,7.450863,61.940196,148.894129,33.860772,16.437906,60.396293,1.0,2.455001,0.858294,0.860086,2.85473,0.858294,12.27002,0.858294,66.185148,9421.722842,8.616615,229.387759,8.5633,26.944419,7.368411,149.548711,389.884996,16669.899455,4.080124,0.858294,90.794771,1435.188629,46368.598647,144.51078,0.858294,169.291729,0.775981,157.013788,157.091456,96.293686,4528.828135,492.945403,986.268932,1443.270022,0.3372,0.912967,489.393956,21281.308876,16444.306864,351.687518,204.601954,20.485731,3.235791,0.662875,5.25096,10.624891,19.364188,4874.802431,61.526706,2300.731206,3787.845446,8.813151,50.193942,16.821521,1188.195586,18.762661,5.021783,69.312776,20.493331,822.958112,40.077328,11.253806,145.146203,1.809474,0.421908,1.0956,4.048859,3.980746,61.79008,315.527136,4.462727,7958.455271,3.990036,4.949237,117.260481,106.52312,1290.641894,4.110599,9.171022,14.550802,659.112607,11.751776,1.477033,1.333388,22.903931,21643.242729,624.095086,42.050382,22682.097486,,14355.770858,20.601049,38.36636,12.034956,3.835511,3.384839,2.591488,29.626109,7.434224,34.859864,2711.595843,40.257145,3965.725167,1.09586,41.718009,12779.453447,3295148.983787,32.94879,26015.725597,131.479902,3.001277,656.076969,0.048143,0.000569,2.961617,0.81945,656.076969,119.331742,274.348888,20.736414,9864.058234,20.95264,352.866598
2023-08-09,4.031967,92.937526,103.343725,423.803133,1.978654,905.518896,313.040016,1.679625,1.978671,1.869792,1.956151,2.216618,120.162661,1.955991,0.413795,3110.772471,1.097737,1.477179,7.586742,5.382426,1.097807,3.7107282e-05,90.943879,14.855802,2.771023,21515.645497,2.213008,1.473087,2678.478212,0.962606,0.034288,946.106766,7.914247,4449.644059,591.335757,1.097737,29.090031,110.273741,24.268276,195.089674,7.450769,62.174274,149.093953,33.919073,16.466055,60.533397,1.0,2.458056,0.862549,0.86303,2.859633,0.862549,12.258814,0.862549,66.308886,9441.780564,8.634982,229.872773,8.585295,26.999846,7.381029,149.858261,388.736138,16700.970948,4.04976,0.862549,90.965679,1449.073271,46447.989366,144.297665,0.862549,169.50351,0.777311,157.776096,157.525225,96.458232,4538.855954,493.789511,987.946661,1443.129083,0.337752,0.914873,489.622335,21336.898461,16479.183241,350.276056,204.944447,20.545012,3.241332,0.66401,5.259944,10.674413,19.459467,4883.121052,61.619323,2305.434767,3798.098785,8.84053,50.273477,16.849882,1190.773374,18.730099,5.017703,69.43159,20.51976,844.455795,40.167575,11.197417,145.50444,1.810959,0.422623,1.097852,4.066033,3.937743,61.812483,315.571812,4.466406,7968.720546,3.996827,4.946072,117.271497,106.343221,1294.044035,4.118625,9.186727,14.627093,660.044988,11.714599,1.477795,1.335672,23.020113,21680.306225,625.163675,42.12242,22720.939891,,14380.266053,20.853648,38.510264,12.060169,3.84208,3.390635,2.598728,29.633959,7.445709,34.824605,2744.342398,40.544546,4012.75674,1.097737,41.797502,12806.298396,3394719.406052,33.005214,26065.765425,131.423924,3.015078,656.074748,0.048371,0.000573,2.966689,0.821155,656.009,119.331742,274.818332,20.842096,9880.948882,20.722757,353.470871
2023-08-10,4.03292,92.676001,103.36421,423.936361,1.979156,905.874492,314.257407,1.686243,1.979398,1.861885,1.947536,2.217141,120.191078,1.955721,0.414008,3111.852714,1.09814,1.477623,7.588008,5.37322,1.09812,3.7279557e-05,90.951543,14.779688,2.771676,21523.547368,2.213567,1.476499,2679.462078,0.962926,0.033687,929.520827,7.923851,4380.228573,589.215829,1.09814,29.100715,109.800076,24.224096,195.161798,7.451542,62.307308,148.922544,33.932641,16.472103,60.557785,1.0,2.466148,0.863704,0.866757,2.860632,0.863704,12.327028,0.863704,66.327569,9441.024102,8.636588,229.751354,8.587072,27.009389,7.38374,149.890545,385.390113,16761.462513,4.072881,0.863704,90.926171,1437.666702,46465.05498,144.493456,0.863704,169.644767,0.777591,159.072187,157.694178,96.493315,4539.715583,493.970952,988.288217,1448.068061,0.337843,0.915142,488.908695,21345.008101,16483.205766,351.149937,205.024191,20.528163,3.242523,0.664254,5.265751,10.742808,19.432073,4950.12994,61.607997,2306.077432,3801.178166,8.842021,49.638933,16.856754,1191.277499,18.759206,5.020713,69.457477,20.498072,844.733323,40.178957,11.328721,145.522468,1.826366,0.422776,1.09817,4.059784,3.990177,61.757195,315.826555,4.445701,7989.316538,3.998315,4.9424,117.301112,106.547044,1295.04003,4.120188,9.190101,14.563217,660.137597,11.757611,1.482028,1.336163,23.148983,21688.268963,625.38775,41.933034,22729.284421,,14385.636087,20.625385,38.577616,12.063141,3.843491,3.391881,2.603363,29.784691,7.451584,34.873088,2739.762002,40.351376,4096.523625,1.09814,42.071856,12811.751513,3410728.41372,33.017336,26078.083731,132.030241,3.02557,653.182324,0.048408,0.000574,2.967779,0.821396,653.191208,119.331742,274.91969,20.683357,9884.571885,20.837149,353.600687
2023-08-11,4.026997,92.238958,103.508844,423.197709,1.975743,904.502417,314.514925,1.686486,1.9762,1.868175,1.950491,2.213675,120.003393,1.95856,0.413336,3107.243177,1.096366,1.480171,7.575691,5.38086,1.096316,3.7245291e-05,90.830606,14.795731,2.767368,21488.775113,2.209985,1.473462,2675.133625,0.961296,0.033901,935.430935,7.934446,4338.572732,586.649837,1.096366,29.053701,109.965712,24.094513,194.846611,7.461653,62.214998,149.039298,33.82941,16.445491,60.460832,1.0,2.461566,0.861722,0.863688,2.856078,0.861722,12.250541,0.861722,66.224736,9423.352948,8.622745,229.354857,8.571116,26.968601,7.371811,149.652698,383.750479,16800.220403,4.086709,0.861722,90.950857,1435.991736,46389.993829,144.943779,0.861722,169.498684,0.776012,158.86897,157.442339,96.502564,4532.663684,493.172914,986.751023,1458.828859,0.337265,0.91353,489.727135,21309.060625,16455.712407,351.95211,204.695685,20.506181,3.237284,0.663181,5.25769,10.712866,19.321651,4941.10138,61.452747,2302.124449,3794.052623,8.826173,49.559851,16.829634,1189.753392,18.652371,5.029074,69.345568,20.506134,843.328873,40.110832,11.432252,145.329209,1.831857,0.422104,1.096416,4.02069,3.983794,61.991283,316.163178,4.440845,7966.318483,3.991911,4.946846,117.420952,109.631168,1293.461675,4.113539,9.175254,14.610537,659.261602,11.850663,1.482401,1.334004,23.836541,21653.230396,624.384499,41.908635,22692.564244,,14367.652729,20.648801,38.449963,12.020588,3.837281,3.386401,2.600964,29.687515,7.441069,34.983401,2740.915561,40.486717,4089.868816,1.096366,41.626707,13238.968186,3420328.850664,32.963995,26049.657995,132.055661,2.992639,654.176562,0.04832,0.000573,2.962985,0.820068,654.176562,119.331742,274.475646,20.7789,9868.614269,20.906194,353.02943
2023-08-12,4.026998,92.482921,103.792055,426.367363,1.981148,904.502417,314.514925,1.686486,1.9762,1.868175,1.95565,2.21953,120.32079,1.958954,0.414368,3115.461523,1.096366,1.484086,7.596419,5.380648,1.099216,3.7181098e-05,91.079128,14.834864,2.774688,21488.775113,2.21583,1.473462,2675.133625,0.961372,0.033901,930.518772,7.933967,4343.267539,588.254971,1.096366,29.053701,110.25656,24.094513,195.725018,7.461653,62.385225,149.040435,33.82941,16.445491,60.626259,1.0,2.461566,0.86379,0.863688,2.856078,0.86379,12.28406,0.86379,66.224736,9448.276769,8.646338,229.982396,8.571007,27.03993,7.371811,150.048514,383.750479,16800.220403,4.086709,0.86379,90.950857,1439.789789,46389.993829,144.943779,0.86379,169.946991,0.776012,158.86897,156.318034,96.502564,4544.652124,493.172914,986.707632,1458.828859,0.337265,0.91603,491.022414,21367.364407,16500.736929,352.882988,204.695685,20.506181,3.237284,0.663181,5.271596,10.742178,19.374517,4954.620742,61.615284,2308.423299,3790.742518,8.850323,49.559851,16.829634,1193.00868,18.652371,5.029074,69.345568,20.506134,843.328873,40.216922,11.432252,145.726845,1.831857,0.422143,1.099316,4.031691,3.994694,61.991283,317.028233,4.441012,7987.388595,3.991911,4.946846,117.261024,109.631168,1297.000719,4.113526,9.175254,14.610216,659.347746,11.850663,1.482401,1.334004,23.946425,21653.230396,624.384499,41.908635,22692.564244,,14362.126262,20.703415,38.449963,12.053477,3.837281,3.386401,2.600964,29.687515,7.461429,34.983401,2753.689215,40.597492,4100.686108,1.096366,41.736805,13273.983925,3433270.83167,32.963995,26049.657995,132.252171,3.026002,655.906793,0.04832,0.000573,2.962985,0.822237,655.906793,119.331742,274.475646,20.7789,9868.614269,20.963395,353.02943
2023-08-13,4.019803,92.440603,103.723723,426.08666,1.979844,902.892891,314.606551,1.684983,1.972683,1.864764,1.954363,2.218069,120.241575,1.954363,0.414095,3114.035952,1.094415,1.483407,7.591417,5.376316,1.098492,3.7305735e-05,91.019165,14.825098,2.772861,21450.537475,2.214372,1.470943,2670.372796,0.959452,0.03411,941.197342,7.882197,4339.20296,587.867688,1.094415,29.002002,110.183972,24.056321,195.59616,7.451687,62.344153,148.774596,33.971963,16.416228,60.586345,1.0,2.457183,0.862058,0.862103,2.850939,0.862058,12.275972,0.862058,66.106544,9443.953434,8.640646,229.830984,8.555755,27.022128,7.532641,149.979855,382.710416,16770.818177,4.080351,0.862058,90.724337,1438.841889,46307.443442,144.70293,0.862058,169.835105,0.774632,158.497041,156.216672,96.330702,4542.572585,492.295282,984.826304,1456.239812,0.336664,0.915427,490.699144,21353.296984,16489.873501,352.650664,204.329825,20.462766,3.231524,0.662001,5.268126,10.735106,19.361762,4951.358817,61.574719,2306.903525,3800.297904,8.844496,49.467196,16.799554,1192.22325,18.601217,5.020055,69.222065,20.461615,845.074527,40.198519,11.417612,145.630904,1.828861,0.422989,1.098592,4.029037,3.992866,61.924216,316.819514,4.433706,7982.130016,3.984752,4.939421,117.183824,109.436024,1296.146826,4.106265,9.158927,14.623086,656.624264,11.853649,1.481023,1.331629,23.535352,21614.699434,623.276848,41.833993,22652.184554,,14336.838822,20.689785,38.438074,12.045542,3.830453,3.380374,2.596336,29.677475,7.456517,34.921679,2736.038151,40.570765,4097.986379,1.094415,41.709327,13265.244863,3425398.471684,32.905338,26003.304612,131.035314,3.011606,655.47497,0.048238,0.000572,2.957712,0.821696,655.47497,119.331742,273.98659,20.726252,9851.05007,20.949594,352.401241
2023-08-14,4.006769,92.723792,103.818489,421.74111,1.967091,901.604961,381.740357,1.681288,1.963567,1.852336,1.950428,2.20383,119.47093,1.956018,0.411221,3092.61733,1.09087,1.478135,7.542191,5.414642,1.091494,3.7074587e-05,90.539832,14.799305,2.75551,21381.058084,2.20005,1.468241,2672.632568,0.95785,0.034001,938.20257,7.917861,4407.116054,584.093851,1.09087,28.908063,110.730102,24.06133,193.86974,7.452379,61.906679,148.246069,33.701783,16.363055,59.888499,1.0,2.489529,0.859244,0.859976,2.847681,0.859244,12.190432,0.859244,66.161508,9436.027953,8.577414,228.314505,8.529897,26.856992,7.508243,148.989623,384.357389,16749.168203,4.085053,0.859244,90.797117,1429.040107,46143.814463,144.114882,0.859244,168.576446,0.772117,158.658394,156.864051,96.291434,4509.657441,491.573406,981.783279,1457.118854,0.335661,0.909599,491.266856,20862.894679,16459.927773,351.461934,203.174299,21.631852,3.221056,0.659857,5.247338,10.764159,19.182077,4865.281337,61.622361,2292.097161,3787.941449,8.789181,49.414565,16.74436,1176.499315,18.610572,5.039275,68.997635,21.631974,836.044418,39.87114,11.433155,144.863652,1.825926,0.419955,1.091499,4.037853,3.845337,62.040006,314.307016,4.449985,7930.193449,3.971855,4.94141,117.310004,105.81475,1292.135883,4.092276,9.129865,14.51427,654.318327,11.783237,1.478887,1.327316,23.459123,21544.688715,620.191509,41.732296,22578.812967,,14290.401395,21.631551,38.442016,11.97896,3.828955,3.369971,2.592894,29.519387,7.403641,34.819478,2734.181353,40.312648,4054.831386,1.09087,41.266148,13194.076686,3427089.906232,32.782971,25989.985146,130.610915,3.001851,654.158187,0.048258,0.000572,2.948132,0.816651,653.978227,119.331742,273.099315,20.813699,9819.136501,21.065075,351.259795
2023-08-15,4.005053,92.139851,103.77303,421.613882,1.965373,902.305502,381.617823,1.688549,1.965445,1.851658,1.950522,2.201842,119.357042,1.956164,0.411041,3091.282801,1.0904,1.479497,7.535576,5.435319,1.090549,3.7365847e-05,90.927965,14.867771,2.752552,21371.831708,2.198162,1.471031,2676.931271,0.958135,0.034105,941.069378,7.940829,4466.767347,583.518429,1.0904,28.895589,110.567439,24.109387,194.147798,7.452007,61.715141,148.16894,33.693021,16.355994,59.928739,1.0,2.468123,0.859128,0.858521,2.856745,0.859128,12.201791,0.859128,66.081903,9437.408494,8.565783,230.097398,8.53145,26.845236,7.505003,148.308704,388.040333,16702.468119,4.077113,0.859128,90.715193,1428.423446,46151.162285,144.096521,0.859128,168.424275,0.771785,158.775807,156.906101,96.249983,4508.801867,492.451729,981.371,1460.115894,0.335484,0.908741,492.966123,20864.795996,16631.327557,350.61131,203.087095,21.246454,3.219666,0.659572,5.261208,10.766058,19.193067,4862.091686,61.614129,2290.103396,3777.621489,8.78832,49.438801,16.795473,1180.35579,18.679821,5.054545,68.968083,21.246433,829.246154,39.864783,11.483679,145.48368,1.83047,0.4198,1.090554,4.035024,3.838304,62.012656,317.469581,4.477419,7912.626155,3.970173,4.939991,117.285518,107.408382,1293.213898,4.089924,9.183002,14.855858,655.544228,11.845087,1.481008,1.326743,23.829223,21535.391336,620.977764,41.652724,22569.069734,,14284.152085,21.251928,38.621485,11.979715,3.816399,3.372061,2.595424,29.512662,7.386978,34.761831,2732.5418,40.264352,4067.992751,1.0904,41.328173,13192.744354,3367677.518491,34.315325,26142.329857,131.581137,3.007281,654.186889,0.04834,0.000573,2.94686,0.817687,652.603081,119.331742,272.981249,20.884098,9814.902311,21.237438,351.108219
